!Version=1,type=LEV,encoding=MBCS,,,
FILECONT, TITLE,,,,
3,1,,,,
UserSettings,U_VALUES,U_DATETIME,,,
UserSettingsValues,m AD,yyyy-mm-dd hh:mm,,,
G_START,G_TS,G_NPROFILES,G_DATATYPE,,
2020/03/31 00:00,600,5,0,,
L_NODEID,L_PIPELEVEL,L_PTITLE,,,
     OF1,0,,,,
     OF2,0,,,,
     OF3,0,,,,
     OF4,0,,,,
     OF5,0,,,,
P_DATETIME,1,2,3,4.0,5.0
2020-03-31 23:30:00,0.33999999999999997,0.33999999999999997,0.33999999999999997,0.33999999999999997,0.33999999999999997
2020-03-31 23:40:00,0.315,0.315,0.315,0.315,0.315
2020-03-31 23:50:00,0.305,0.305,0.305,0.305,0.305
2020-04-01 00:00:00,0.275,0.275,0.275,0.275,0.275
2020-04-01 00:10:00,0.265,0.265,0.265,0.265,0.265
2020-04-01 00:20:00,0.255,0.255,0.255,0.255,0.255
2020-04-01 00:30:00,0.25,0.25,0.25,0.25,0.25
2020-04-01 00:40:00,0.25,0.25,0.25,0.25,0.25
2020-04-01 00:50:00,0.27,0.27,0.27,0.27,0.27
2020-04-01 01:00:00,0.28500000000000003,0.28500000000000003,0.28500000000000003,0.28500000000000003,0.28500000000000003
2020-04-01 01:10:00,0.325,0.325,0.325,0.325,0.325
2020-04-01 01:20:00,0.355,0.355,0.355,0.355,0.355
2020-04-01 01:30:00,0.385,0.385,0.385,0.385,0.385
2020-04-01 01:40:00,0.42,0.42,0.42,0.42,0.42
2020-04-01 01:50:00,0.44,0.44,0.44,0.44,0.44
2020-04-01 02:00:00,0.475,0.475,0.475,0.475,0.475
2020-04-01 02:10:00,0.49,0.49,0.49,0.49,0.49
2020-04-01 02:20:00,0.52,0.52,0.52,0.52,0.52
2020-04-01 02:30:00,0.54,0.54,0.54,0.54,0.54
2020-04-01 02:40:00,0.56,0.56,0.56,0.56,0.56
2020-04-01 02:50:00,0.58,0.58,0.58,0.58,0.58
2020-04-01 03:00:00,0.6,0.6,0.6,0.6,0.6
2020-04-01 03:10:00,0.61,0.61,0.61,0.61,0.61
2020-04-01 03:20:00,0.63,0.63,0.63,0.63,0.63
2020-04-01 03:30:00,0.65,0.65,0.65,0.65,0.65
2020-04-01 03:40:00,0.665,0.665,0.665,0.665,0.665
2020-04-01 03:50:00,0.685,0.685,0.685,0.685,0.685
2020-04-01 04:00:00,0.7,0.7,0.7,0.7,0.7
2020-04-01 04:10:00,0.72,0.72,0.72,0.72,0.72
2020-04-01 04:20:00,0.74,0.74,0.74,0.74,0.74
